InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,02-02-2011 14:36,2.55,15421.0,United Kingdom
575070,23427,STOOL HOME SWEET HOME ,2,08-11-2011 12:58,12.5,17841.0,United Kingdom
544322,79000,MOROCCAN TEA GLASS,24,17-02-2011 15:50,0.85,14211.0,United Kingdom
570019,23501,KEY RING BASEBALL BOOT UNION JACK,1,07-10-2011 10:13,1.25,17841.0,United Kingdom
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,19-05-2011 17:47,9.95,12353.0,Bahrain
579619,21174,POTTERING IN THE SHED METAL SIGN,12,30-11-2011 12:10,2.08,18241.0,United Kingdom
559200,84375,SET OF 20 KIDS COOKIE CUTTERS,1,07-07-2011 10:36,2.1,13291.0,United Kingdom
540464,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,07-01-2011 13:17,3.81,14298.0,United Kingdom
548336,15036,ASSORTED COLOURS SILK FAN,600,30-03-2011 14:06,0.65,13082.0,United Kingdom
574257,72818,,-3,03-11-2011 13:46,0.0,,United Kingdom
575051,21623,VINTAGE UNION JACK MEMOBOARD,2,08-11-2011 12:14,9.95,15957.0,United Kingdom
568095,90201B,BLACK ENAMEL FLOWER RING,6,23-09-2011 14:49,2.95,14911.0,EIRE
544646,71038,WHITE HANGING BEADS CANDLE HOLDER,4,22-02-2011 12:06,5.45,17075.0,United Kingdom
580610,85049e,SCANDINAVIAN REDS RIBBONS,2,05-12-2011 11:48,3.29,,United Kingdom
542112,22423,REGENCY CAKESTAND 3 TIER,2,25-01-2011 13:55,12.75,13168.0,United Kingdom
566203,84946,ANTIQUE SILVER T-LIGHT GLASS,12,09-09-2011 14:47,1.25,16362.0,United Kingdom
578290,22670,FRENCH WC SIGN BLUE METAL,12,23-11-2011 14:07,1.25,13644.0,United Kingdom
547202,22652,TRAVEL SEWING KIT,1,21-03-2011 13:38,1.65,17841.0,United Kingdom
550496,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,18-04-2011 15:05,1.8,,United Kingdom
540114,84030E,ENGLISH ROSE HOT WATER BOTTLE,8,05-01-2011 09:44,4.25,15498.0,United Kingdom
573909,22913,RED COAT RACK PARIS FASHION,1,01-11-2011 15:26,4.95,17813.0,United Kingdom
576611,23084,RABBIT NIGHT LIGHT,10,15-11-2011 16:29,2.08,17357.0,United Kingdom
538658,84360,TABLE LAMP WHITE SHADE WOOD BASE,2,13-12-2010 15:34,5.95,17969.0,United Kingdom
541181,22502,PICNIC BASKET WICKER SMALL,16,14-01-2011 11:50,4.95,12877.0,United Kingdom
577498,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,20-11-2011 12:22,3.75,15906.0,United Kingdom
549682,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,11-04-2011 13:22,0.85,12596.0,Spain
546396,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,4,11-03-2011 14:35,2.1,13226.0,United Kingdom
567959,23205,CHARLOTTE BAG VINTAGE ALPHABET ,20,23-09-2011 09:13,0.85,12516.0,Germany
579093,20963,APPLE BATH SPONGE,50,28-11-2011 10:54,1.25,13081.0,United Kingdom
559051,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,05-07-2011 16:47,24.96,,United Kingdom
563404,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,8,16-08-2011 11:04,3.75,16303.0,United Kingdom
568869,23288,GREEN VINTAGE SPOT BEAKER,8,29-09-2011 12:01,0.85,12957.0,United Kingdom
558096,21851,LILAC DIAMANTE PEN IN GIFT BOX,2,26-06-2011 13:24,4.95,15532.0,United Kingdom
570637,22338,STAR DECORATION PAINTED ZINC ,96,11-10-2011 12:34,0.19,12530.0,Germany
566195,21877,HOME SWEET HOME MUG,12,09-09-2011 13:44,1.25,12433.0,Norway
559542,23266,SET OF 3 WOODEN STOCKING DECORATION,2,10-07-2011 13:32,1.25,17126.0,United Kingdom
565232,22811,SET OF 6 T-LIGHTS CACTI ,2,02-09-2011 09:30,5.79,,United Kingdom
555602,47504K,ENGLISH ROSE GARDEN SECATEURS,12,06-06-2011 11:26,1.95,16235.0,United Kingdom
540154,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,4,05-01-2011 11:30,8.47,,United Kingdom
565331,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,02-09-2011 13:59,1.25,16674.0,United Kingdom
540121,22610,PENS ASSORTED FUNNY FACE,36,05-01-2011 10:35,0.21,16145.0,United Kingdom
576837,21945,STRAWBERRIES  DESIGN FLANNEL ,3,16-11-2011 15:16,1.63,,United Kingdom
543172,22197,SMALL POPCORN HOLDER,6,04-02-2011 09:11,1.63,,United Kingdom
555590,21668,RED STRIPE CERAMIC DRAWER KNOB,24,06-06-2011 09:39,1.25,17690.0,United Kingdom
557466,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,20-06-2011 13:08,4.15,13815.0,Germany
568721,22189,CREAM HEART CARD HOLDER,1,28-09-2011 16:24,8.29,,United Kingdom
544684,22635,CHILDS BREAKFAST SET DOLLY GIRL ,1,22-02-2011 16:32,19.96,,United Kingdom
537469,22112,CHOCOLATE HOT WATER BOTTLE,24,07-12-2010 10:43,4.25,17720.0,United Kingdom
578307,22630,DOLLY GIRL LUNCH BOX,2,23-11-2011 15:53,1.95,17290.0,United Kingdom
550636,37476,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,1,19-04-2011 15:37,8.29,,United Kingdom
543979,85114A,BLACK ENCHANTED FOREST PLACEMAT,5,14-02-2011 15:43,1.65,14606.0,United Kingdom
580881,23199,JUMBO BAG APPLES,10,06-12-2011 12:19,2.08,16620.0,United Kingdom
549557,22990,COTTON APRON PANTRY DESIGN,3,10-04-2011 12:59,4.95,14450.0,United Kingdom
560576,22295,HEART FILIGREE DOVE LARGE,6,19-07-2011 14:59,1.65,17287.0,United Kingdom
548567,23078,ICE CREAM PEN LIP GLOSS ,24,01-04-2011 10:34,1.25,17965.0,United Kingdom
549250,85144,JARDIN ETCHED GLASS CHEESE DISH,1,07-04-2011 12:10,1.95,14446.0,United Kingdom
552325,23206,LUNCH BAG APPLE DESIGN,10,09-05-2011 09:47,1.65,12490.0,France
546643,85150,LADIES & GENTLEMEN METAL SIGN,6,15-03-2011 13:23,2.55,16214.0,United Kingdom
554842,22568,FELTCRAFT CUSHION OWL,4,26-05-2011 18:17,3.75,14740.0,United Kingdom
561214,21429,RED GINGHAM ROSE JEWELLERY BOX,1,25-07-2011 17:00,4.13,,United Kingdom
547962,21714,CITRONELLA CANDLE GARDEN POT,12,28-03-2011 15:38,1.25,12957.0,United Kingdom
540468,22585,PACK OF 6 BIRDY GIFT TAGS,2,07-01-2011 13:55,2.51,,United Kingdom
579161,23493,VINTAGE DOILY TRAVEL SEWING KIT,5,28-11-2011 13:56,1.95,17379.0,United Kingdom
560567,22081,RIBBON REEL FLORA + FAUNA ,2,19-07-2011 13:57,3.29,,United Kingdom
550438,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,18-04-2011 12:16,8.5,15265.0,United Kingdom
540646,90214W,"LETTER ""W"" BLING KEY RING",1,10-01-2011 14:32,0.85,,United Kingdom
544724,85152,HAND OVER THE CHOCOLATE   SIGN ,24,23-02-2011 10:46,2.1,15605.0,United Kingdom
580505,23350,ROLL WRAP VINTAGE SPOT ,4,04-12-2011 13:32,1.25,15867.0,United Kingdom
580504,23079,TOADSTOOL BEDSIDE LIGHT ,1,04-12-2011 13:32,8.95,17936.0,United Kingdom
578344,22541,MINI JIGSAW LEAP FROG,1,24-11-2011 09:21,0.83,,United Kingdom
562928,84926D,LA PALMIERA TILE COASTER,24,10-08-2011 15:29,0.29,15494.0,United Kingdom
546008,22136,LOVE HEART SOCK HANGER,1,08-03-2011 15:43,3.29,,United Kingdom
559557,23159,SET OF 5 PANCAKE DAY MAGNETS,12,11-07-2011 10:33,2.08,17444.0,Canada
572472,22553,PLASTERS IN TIN SKULLS,12,24-10-2011 13:34,1.65,14139.0,United Kingdom
572509,23203,JUMBO BAG VINTAGE DOILY ,2,24-10-2011 14:25,2.08,17004.0,United Kingdom
C578144,22697,GREEN REGENCY TEACUP AND SAUCER,-3,23-11-2011 11:06,2.95,16201.0,United Kingdom
567805,23333,IVORY WICKER HEART MEDIUM,2,22-09-2011 12:15,1.25,12854.0,United Kingdom
570855,22818,CARD CHRISTMAS VILLAGE,12,12-10-2011 14:56,0.42,17314.0,United Kingdom
573300,23570,TRADITIONAL PICK UP STICKS GAME ,1,28-10-2011 16:10,1.25,16049.0,United Kingdom
558758,21394,RED POLKADOT BEAKER ,1,03-07-2011 12:27,0.39,17939.0,United Kingdom
579777,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,2,30-11-2011 15:13,0.83,,United Kingdom
563477,23292,SPACEBOY CHILDRENS CUP,1,16-08-2011 15:39,1.25,17097.0,Spain
537372,22837,HOT WATER BOTTLE BABUSHKA ,2,06-12-2010 12:52,4.65,16919.0,United Kingdom
559923,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,13-07-2011 16:07,6.63,,United Kingdom
554956,22555,PLASTERS IN TIN STRONGMAN,3,27-05-2011 15:17,3.29,,United Kingdom
551142,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,4,26-04-2011 13:22,0.83,17613.0,United Kingdom
580134,20668,DISCO BALL CHRISTMAS DECORATION,24,01-12-2011 19:24,0.12,13102.0,United Kingdom
542255,22697,GREEN REGENCY TEACUP AND SAUCER,6,26-01-2011 16:43,5.79,,United Kingdom
576673,22548,adjustment,4,16-11-2011 11:59,0.0,,United Kingdom
575138,21329,DINOSAURS  WRITING SET ,1,08-11-2011 15:24,3.29,,United Kingdom
557123,22998,TRAVEL CARD WALLET KEEP CALM,10,16-06-2011 17:56,0.42,15555.0,United Kingdom
541827,22659,LUNCH BOX I LOVE LONDON,1,21-01-2011 17:05,4.13,,United Kingdom
569202,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,6,30-09-2011 17:22,2.46,,United Kingdom
547708,82551,LAUNDRY 15C METAL SIGN,288,24-03-2011 18:34,1.7,17450.0,United Kingdom
555633,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,06-06-2011 12:22,2.95,14534.0,United Kingdom
545812,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,07-03-2011 12:26,1.65,14214.0,United Kingdom
550512,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,1,18-04-2011 16:31,0.65,18069.0,United Kingdom
569702,21899,GARAGE KEY FOB,1,05-10-2011 16:09,0.65,14396.0,United Kingdom
580903,22199,FRYING PAN RED RETROSPOT,1,06-12-2011 12:56,1.25,14606.0,United Kingdom
548167,22386,JUMBO BAG PINK POLKADOT,4,29-03-2011 13:45,4.13,,United Kingdom
539466,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",20,19-12-2010 12:46,0.42,12668.0,Germany
570252,23426,METAL SIGN DROP YOUR PANTS,6,10-10-2011 09:14,2.89,14665.0,United Kingdom
574653,22079,RIBBON REEL HEARTS DESIGN ,10,06-11-2011 11:30,1.65,12619.0,Germany
547921,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,28-03-2011 13:28,1.25,14766.0,United Kingdom
579520,23320,GIANT 50'S CHRISTMAS CRACKER,1,29-11-2011 18:14,2.89,12748.0,United Kingdom
548163,21931,JUMBO STORAGE BAG SUKI,3,29-03-2011 13:43,4.13,,United Kingdom
575303,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,09-11-2011 12:34,1.65,12893.0,United Kingdom
540809,21901,"KEY FOB , BACK DOOR ",24,11-01-2011 12:37,0.65,18095.0,United Kingdom
578852,21137,BLACK RECORD COVER FRAME,1,27-11-2011 11:12,3.75,17841.0,United Kingdom
579289,23498,CLASSIC BICYCLE CLIPS ,1,29-11-2011 11:11,1.45,,United Kingdom
580289,23349,ROLL WRAP VINTAGE CHRISTMAS,1,02-12-2011 13:32,1.25,15856.0,United Kingdom
575324,22866,HAND WARMER SCOTTY DOG DESIGN,12,09-11-2011 13:45,2.1,14240.0,United Kingdom
567880,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,22-09-2011 14:56,2.55,15398.0,United Kingdom
546388,22384,LUNCH BAG PINK POLKADOT,2,11-03-2011 13:42,4.96,,United Kingdom
547514,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,23-03-2011 14:00,2.95,17486.0,United Kingdom
550542,22286,DECORATION WOBBLY RABBIT METAL ,2,19-04-2011 11:37,3.29,,United Kingdom
556484,22937,BAKING MOULD CHOCOLATE CUPCAKES,6,12-06-2011 13:17,2.55,16938.0,United Kingdom
568531,22915,ASSORTED BOTTLE TOP  MAGNETS ,18,27-09-2011 13:49,0.42,16713.0,United Kingdom
570598,22592,CARDHOLDER HOLLY WREATH METAL,4,11-10-2011 11:55,3.75,14175.0,United Kingdom
C550355,M,Manual,-1,18-04-2011 10:29,222.75,13811.0,Germany
569230,46000M,POLYESTER FILLER PAD 45x45cm,4,02-10-2011 15:07,1.55,16533.0,United Kingdom
542541,22079,RIBBON REEL HEARTS DESIGN ,1,28-01-2011 14:25,3.29,,United Kingdom
542423,22951,60 CAKE CASES DOLLY GIRL DESIGN,48,28-01-2011 09:09,0.55,15057.0,United Kingdom
570404,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,10-10-2011 12:50,2.08,16395.0,United Kingdom
550911,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,21-04-2011 13:11,0.85,12354.0,Spain
566041,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,12,08-09-2011 13:48,1.45,13814.0,Germany
541129,22619,SET OF 6 SOLDIER SKITTLES,1,14-01-2011 10:14,7.46,,United Kingdom
574475,21544,SKULLS  WATER TRANSFER TATTOOS ,12,04-11-2011 12:18,0.85,14132.0,United Kingdom
550035,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,30,14-04-2011 11:48,2.08,15039.0,United Kingdom
567901,21385,IVORY HANGING DECORATION  HEART,4,22-09-2011 16:28,1.63,,United Kingdom
549257,84725,FREESTYLE CANVAS ART PICTURE,1,07-04-2011 12:29,1.65,14465.0,United Kingdom
556072,47590B,PINK HAPPY BIRTHDAY BUNTING,6,08-06-2011 14:57,5.45,16126.0,United Kingdom
557295,POST,POSTAGE,1,19-06-2011 13:37,18.0,12724.0,France
571937,23174,REGENCY SUGAR BOWL GREEN,4,20-10-2011 09:28,4.15,14911.0,EIRE
564642,22536,MAGIC DRAWING SLATE PURDEY,24,26-08-2011 13:22,0.42,13527.0,United Kingdom
565472,79321,CHILLI LIGHTS,2,05-09-2011 10:15,5.75,16255.0,United Kingdom
542208,21212,PACK OF 72 RETROSPOT CAKE CASES,120,26-01-2011 11:35,0.42,16422.0,United Kingdom
580126,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,01-12-2011 17:20,1.95,12562.0,France
541302,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,17-01-2011 14:18,0.85,13769.0,United Kingdom
553490,90014B,GOLD M PEARL  ORBIT NECKLACE,1,17-05-2011 12:44,9.95,13309.0,United Kingdom
540639,22439,6 ROCKET BALLOONS ,24,10-01-2011 12:28,0.65,13107.0,United Kingdom
561894,84731,3 BIRDS CANVAS SCREEN,1,31-07-2011 15:00,0.39,14456.0,United Kingdom
561874,22631,CIRCUS PARADE LUNCH BOX ,1,31-07-2011 12:02,1.95,16255.0,United Kingdom
571035,20725,LUNCH BAG RED RETROSPOT,10,13-10-2011 12:50,1.65,12446.0,RSA
537645,85039a,SET/4 RED MINI ROSE CANDLE IN BOWL,1,07-12-2010 15:34,3.36,,United Kingdom
557012,21469,POLKA DOT RAFFIA FOOD COVER,6,16-06-2011 11:51,3.75,18241.0,United Kingdom
538566,22497,SET OF 2 TINS VINTAGE BATHROOM ,1,13-12-2010 11:21,8.47,,United Kingdom
540550,37444C,PINK BREAKFAST CUP AND SAUCER ,4,10-01-2011 09:11,2.95,12539.0,Spain
570671,22077,6 RIBBONS RUSTIC CHARM,12,11-10-2011 14:51,1.95,16171.0,United Kingdom
541711,21217,RED RETROSPOT ROUND CAKE TINS,12,21-01-2011 11:18,8.95,14646.0,Netherlands
576837,21000,ROSE DU SUD COSMETICS BAG,1,16-11-2011 15:16,3.29,,United Kingdom
556886,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,15-06-2011 12:34,0.85,12624.0,France
580138,23489,VINTAGE BELLS GARLAND,24,02-12-2011 08:55,2.89,13199.0,United Kingdom
556490,23049,RECYCLED ACAPULCO MAT RED,2,12-06-2011 14:08,8.25,13078.0,United Kingdom
578827,22219,LOVEBIRD HANGING DECORATION WHITE ,1,25-11-2011 14:25,1.63,,United Kingdom
572185,21154,RED RETROSPOT OVEN GLOVE ,8,21-10-2011 10:52,3.29,,United Kingdom
580094,23394,POSTE FRANCE CUSHION COVER,2,01-12-2011 14:50,3.75,15904.0,United Kingdom
568322,23049,RECYCLED ACAPULCO MAT RED,1,26-09-2011 13:41,8.25,15958.0,United Kingdom
561515,23034,DRAWER KNOB CERAMIC BLACK,2,27-07-2011 15:16,3.29,,United Kingdom
569862,23503,PLAYING CARDS KEEP CALM & CARRY ON,1,06-10-2011 14:43,1.25,14518.0,United Kingdom
548490,85066,CREAM SWEETHEART MINI CHEST,4,31-03-2011 13:13,12.75,12909.0,United Kingdom
564755,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1,30-08-2011 10:31,3.29,,United Kingdom
544695,20728,LUNCH BAG CARS BLUE,10,23-02-2011 09:38,1.65,14276.0,United Kingdom
567300,POST,POSTAGE,3,19-09-2011 12:36,18.0,12724.0,France
544484,21592,RETROSPOT CIGAR BOX MATCHES ,24,21-02-2011 11:10,1.25,15321.0,United Kingdom
553946,22699,ROSES REGENCY TEACUP AND SAUCER ,6,20-05-2011 10:48,2.95,15601.0,United Kingdom
540414,22894,TABLECLOTH RED APPLES DESIGN ,2,07-01-2011 10:32,8.5,12481.0,Germany
541219,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,5,14-01-2011 14:06,8.29,,United Kingdom
557514,22077,6 RIBBONS RUSTIC CHARM,3,20-06-2011 16:58,1.65,14667.0,United Kingdom
566482,23403,LETTER HOLDER HOME SWEET HOME,4,13-09-2011 09:43,3.75,16609.0,United Kingdom
555242,84879,ASSORTED COLOUR BIRD ORNAMENT,24,01-06-2011 13:40,1.69,16424.0,United Kingdom
574711,82494L,WOODEN FRAME ANTIQUE WHITE ,6,06-11-2011 14:20,2.95,14517.0,United Kingdom
557762,20726,LUNCH BAG WOODLAND,10,22-06-2011 14:01,1.65,15810.0,United Kingdom
549128,22995,TRAVEL CARD WALLET SUKI,36,06-04-2011 14:25,0.42,16713.0,United Kingdom
569846,22865,HAND WARMER OWL DESIGN,12,06-10-2011 13:42,2.1,13422.0,United Kingdom
540856,22849,BREAD BIN DINER STYLE MINT,4,12-01-2011 10:16,14.95,16655.0,United Kingdom
537852,21874,GIN AND TONIC MUG,12,08-12-2010 15:56,1.25,17340.0,United Kingdom
567656,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,21-09-2011 14:40,8.29,14096.0,United Kingdom
577078,72799E,IVORY PILLAR CANDLE SILVER FLOCK,2,17-11-2011 15:17,3.29,,United Kingdom
553350,21232,STRAWBERRY CERAMIC TRINKET BOX,12,16-05-2011 13:32,1.25,12871.0,United Kingdom
552894,21888,BINGO SET,1,12-05-2011 10:53,3.75,14606.0,United Kingdom
560125,23319,BOX OF 6 MINI 50'S CRACKERS,1,15-07-2011 10:44,2.49,18118.0,United Kingdom
537160,22694,WICKER STAR ,3,05-12-2010 13:18,2.1,14161.0,United Kingdom
